Event name,Session source / medium,Event count,Sessions
Grand total,,653347,542733
session_start,google / organic,78573,81122
Loaded,google / organic,88708,69335
page_view,google / organic,87542,66749
first_visit,google / organic,42503,43952
user_engagement,google / organic,52449,38632
session_start,(direct) / (none),26284,26680
page_view,(direct) / (none),34901,23520
session_start,google / cpc,21561,20962
Loaded,(direct) / (none),29145,20610
page_view,google / cpc,22818,20033
first_visit,google / cpc,18587,18111
Loaded,google / cpc,16085,14315
first_visit,(direct) / (none),11126,11160
scroll,google / organic,15157,10731
user_engagement,(direct) / (none),14121,9638
user_engagement,google / cpc,8723,8035
scroll,(direct) / (none),4086,2803
click,google / organic,5030,2777
session_start,bing / organic,2690,2687
page_view,bing / organic,3502,2263
Loaded,bing / organic,3364,2207
session_start,coccoc.com / referral,1846,1841
Loaded,coccoc.com / referral,1966,1580
user_engagement,bing / organic,2415,1566
page_view,coccoc.com / referral,1938,1509
click,(direct) / (none),2873,1406
first_visit,bing / organic,1029,1032
user_engagement,coccoc.com / referral,1255,995
file_download,google / organic,1681,987
first_visit,coccoc.com / referral,931,929
page_view,pinetree.vn / referral,1211,888
session_start,pinetree.vn / referral,888,888
session_start,yahoo / organic,777,777
session_start,vn.search.yahoo.com / referral,716,715
scroll,google / cpc,831,713
Loaded,yahoo / organic,854,676
session_start,zalo / zalo,662,662
page_view,zalo / zalo,903,643
file_download,(direct) / (none),821,639
Click,google / organic,1009,618
Loaded,vn.search.yahoo.com / referral,776,617
page_view,yahoo / organic,800,597
first_visit,pinetree.vn / referral,592,591
Click Mở tài khoản trang alpha,google / organic,685,574
Loaded,zalo / zalo,759,542
video_start,google / organic,616,540
page_view,vn.search.yahoo.com / referral,685,533
click,google / cpc,1147,526
scroll,bing / organic,739,474
first_visit,zalo / zalo,469,470
user_engagement,yahoo / organic,550,420
session_start,l.facebook.com / referral,391,389
Click,(direct) / (none),509,347
user_engagement,vn.search.yahoo.com / referral,448,347
Loaded,l.facebook.com / referral,806,343
first_visit,yahoo / organic,334,333
session_start,hftvietnam.sharepoint.com / referral,328,328
form_start,google / organic,414,311
first_visit,vn.search.yahoo.com / referral,304,304
session_start,10.8.90.16:8888 / referral,300,300
session_start,ntp.msn.com / referral,295,294
video_progress,google / organic,654,294
Loaded,hftvietnam.sharepoint.com / referral,690,291
page_view,ntp.msn.com / referral,312,291
session_start,zalo / menu,270,270
Click Mở tài khoản trang alpha,(direct) / (none),321,267
page_view,zalo / menu,434,266
session_start,linkedin.com / referral,266,266
Loaded,10.8.90.16:8888 / referral,554,261
form_submit,google / organic,355,256
page_view,l.facebook.com / referral,693,255
view_search_results,google / organic,435,249
Loaded,linkedin.com / referral,426,245
user_engagement,(not set),282,237
scroll,coccoc.com / referral,273,230
page_view,(not set),312,229
Loaded,zalo / menu,375,223
Click,google / cpc,341,218
Loaded,ntp.msn.com / referral,223,215
first_visit,zalo / menu,202,202
session_start,GDN / CPC,199,199
page_view,GDN / CPC,208,198
page_view,hftvietnam.sharepoint.com / referral,588,195
page_view,10.8.90.16:8888 / referral,454,193
GA4 event - Click Tải app Android - Tran,google / cpc,414,189
first_visit,GDN / CPC,184,184
user_engagement,hftvietnam.sharepoint.com / referral,501,182
Loaded,(not set),253,177
video_start,(direct) / (none),213,169
user_engagement,ntp.msn.com / referral,177,168
user_engagement,l.facebook.com / referral,423,165
Click Tải app Ios - trang alpha,google / cpc,326,164
StartChat,google / organic,160,160
scroll,yahoo / organic,185,152
page_view,m.facebook.com / referral,184,148
scroll,zalo / zalo,178,148
session_start,m.facebook.com / referral,148,148
session_start,youtube.com / referral,147,147
SendMessage,google / organic,529,145
first_visit,m.facebook.com / referral,144,144
user_engagement,10.8.90.16:8888 / referral,321,141
page_view,linkedin.com / referral,324,139
page_view,youtube.com / referral,284,126
video_progress,(direct) / (none),296,126
session_start,10.8.90.17:8888 / referral,122,122
click,bing / organic,219,116
Loaded,10.8.90.17:8888 / referral,175,113
page_view,trade.pinetree.vn / referral,153,111
session_start,trade.pinetree.vn / referral,111,111
Loaded,youtube.com / referral,220,110
Loaded,m.facebook.com / referral,138,107
form_start,(direct) / (none),217,106
user_engagement,zalo / zalo,222,106
scroll,vn.search.yahoo.com / referral,137,105
user_engagement,linkedin.com / referral,235,101
view_search_results,(direct) / (none),184,101
session_start,chat.zalo.me / referral,96,96
page_view,Admicro_AdX / referral,129,92
session_start,Admicro_AdX / referral,92,92
first_visit,youtube.com / referral,89,89
user_engagement,zalo / menu,184,88
StartChat,(direct) / (none),87,87
session_start,zalo / zcb,87,86
page_view,zalo / zcb,101,85
first_visit,trade.pinetree.vn / referral,83,83
click,coccoc.com / referral,148,81
scroll,l.facebook.com / referral,149,81
Loaded,chat.zalo.me / referral,121,77
first_visit,l.facebook.com / referral,74,74
scroll,linkedin.com / referral,121,73
session_start,YT_trueview / CPV,73,73
SendMessage,(direct) / (none),207,72
first_visit,baidu / organic,71,71
first_visit,linkedin.com / referral,71,71
page_view,baidu / organic,71,71
session_start,baidu / organic,71,71
form_submit,(direct) / (none),160,70
page_view,chat.zalo.me / referral,119,70
Loaded,Admicro_AdX / referral,95,69
scroll,hftvietnam.sharepoint.com / referral,150,69
page_view,YT_trueview / CPV,71,68
user_engagement,youtube.com / referral,173,67
first_visit,YT_trueview / CPV,63,63
Loaded,zalo / zcb,75,62
scroll,zalo / menu,73,61
Loaded,GDN / CPC,65,59
file_download,bing / organic,100,56
scroll,10.8.90.16:8888 / referral,79,54
session_start,mail.google.com / referral,54,54
video_complete,google / organic,57,54
click,zalo / menu,110,53
session_start,tinnhanhchungkhoan.vn / referral,53,51
GA4 event - Click Tải app Android - Tran,(direct) / (none),256,49
scroll,m.facebook.com / referral,55,49
user_engagement,chat.zalo.me / referral,79,49
click,zalo / zalo,87,47
page_view,mail.google.com / referral,80,47
session_start,localhost:3000 / referral,48,47
click,l.facebook.com / referral,91,46
session_start,message.base.vn / referral,46,46
Loaded,message.base.vn / referral,45,45
Loaded,tinnhanhchungkhoan.vn / referral,96,45
scroll,baidu / organic,45,45
session_start,10.8.80.104:8888 / referral,45,45
user_engagement,zalo / zcb,49,44
Click Mở tài khoản trang alpha,bing / organic,48,43
Loaded,YT_trueview / CPV,44,42
Loaded,mail.google.com / referral,71,42
